Date,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
2020-10-24,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-25,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-26,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-27,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-28,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-29,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-30,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-10-31,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-01,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-02,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-03,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-04,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-05,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green,green
2020-11-06,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-07,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-08,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-09,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-10,yellow,yellow,red,yellow,yellow,yellow,yellow,yellow,red,yellow,yellow,red,yellow,red,orange,yellow,orange,yellow,yellow,red,yellow
2020-11-11,orange,orange,red,yellow,yellow,yellow,yellow,orange,red,yellow,yellow,red,yellow,red,orange,yellow,orange,orange,orange,red,yellow
2020-11-12,orange,orange,red,yellow,yellow,yellow,yellow,orange,red,yellow,yellow,red,yellow,red,orange,yellow,orange,orange,orange,red,yellow
2020-11-13,orange,orange,red,yellow,yellow,yellow,yellow,orange,red,yellow,yellow,red,yellow,red,orange,yellow,orange,orange,orange,red,yellow
